Fase,# Replicas,Ramp up,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1,1,50,100,4026,1419,13047,2138.41,0.0,1.76115,9716.54,0.37,5649571.0
1,1,100,300,25866,1785,41482,9980.33,17.1665,2.24867,10280.64,0.47,4679818.6
1,1,100,700,32610,3324,44270,7053.61,62.3212,4.96881,10331.03,1.04,2129006.7
1,1,100,1000,49765,3665,85493,17008.3,68.675,5.60006,9677.26,1.17,1770090.72
2,1,50,100,16063,4840,24444,5134.28,0.0,1.3956,7699.74,0.3,5649571.0
2,1,100,300,29486,2758,41857,8672.86,36.6665,2.19615,7673.2,0.46,3578255.25
2,1,100,700,33719,4909,53165,6409.44,71.714,4.819155,7521.86,1.02,1598400.15
2,1,100,1000,52032,5193,85909,16976.94,75.6,5.51787,7430.7,1.16,1378894.5
2,2,50,100,24705,3708,43416,9427.47,3.0,1.17638,6306.54,0.24,5480099.7
2,2,100,300,35409,3692,69998,10966.79,45.167,2.118485,6412.36,0.44,3098086.6
2,2,100,700,32410,6406,56286,6678.73,73.7855,5.083575,7353.72,1.07,1481384.3
2,2,100,1000,31872,9695,60381,5840.96,81.9,7.081605,7068.08,1.49,1023004.8
2,3,50,100,36626,4556,55420,11195.75,8.5,1.126845,5737.07,0.24,5169402.35
2,3,100,300,36378,3087,68877,12606.74,40.0,2.116845,7000.66,0.45,3389953.8
2,3,100,700,33964,6396,61437,9030.51,74.0715,4.91614,7034.74,1.04,1465244.15
2,3,100,1000,33034,5909,64982,8245.3,82.75,7.124415,6783.61,1.5,974987.95
3,1,50,100,7610,3964,13033,1750.42,0.0,1.75357,9674.72,0.37,5649571.0
3,1,100,300,23918,2490,40494,10479.09,12.1665,2.25459,10926.18,0.48,4962270.75
3,1,100,700,32512,3404,46216,7430.54,56.5715,4.869985,11670.28,1.02,2453826.65
3,1,100,1000,52068,11132,87990,17272.62,66.15,5.50078,10311.94,1.16,1912729.05
3,2,50,100,12925,4389,23086,4736.0,0.0,1.585395,8746.87,0.34,5649571.0
3,2,100,300,30808,1946,45167,10378.17,26.6665,2.210145,8942.48,0.47,4143159.55
3,2,100,700,31934,6215,53986,6626.22,68.357,5.099455,8904.46,1.08,1788046.6
3,2,100,1000,31536,5650,50350,5556.92,77.95,7.255015,8828.7,1.54,1246141.95
3,3,50,100,9578,1771,19563,4055.12,0.0,1.611425,8890.49,0.34,5649571.0
3,3,100,300,32039,2003,53384,11937.05,22.333,2.191665,9391.52,0.46,4387951.4
3,3,100,700,33394,4251,55996,8429.19,66.4285,4.9876,9239.2,1.06,1896992.45
3,3,100,1000,32508,9646,55104,7200.36,76.85,7.220515,9224.72,1.53,1308281.45
4,1,50,100,956,881,1017,25.42,0.0,1.98236,10936.98,0.41,5649571.0
4,1,100,300,891,818,970,25.16,0.0,2.98611,16474.87,0.62,5649571.0
4,1,100,700,672,546,998,61.13,0.0,6.95507,38372.23,1.44,5649571.0
4,1,100,1000,11686,839,30038,8610.78,0.2,7.90658,43534.6,1.64,5638272.9
4,1,50,100,982,821,2283,193.19,0.0,1.98484,10950.66,0.42,5649571.0
4,1,100,300,904,836,1007,33.92,0.0,2.98291,16457.18,0.63,5649571.0
4,1,100,700,723,579,1111,79.29,0.0,6.95459,38369.56,1.47,5649571.0
4,1,100,1000,10497,966,30085,5215.79,0.2,8.4327,46431.5,1.79,5638272.9
